principal analysis set accession	annotation file accession	lab	pseudobulking status	processed date	missing annotations columns	uniform pipeline status
IGVFDS6926HODR	IGVFFI1821VYOA	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS5225ELZI	IGVFFI0132SXPV	/labs/ali-mortazavi/	unattempted			completed
IGVFDS2500KKHV	IGVFFI8800HPNJ	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS5496ZHDY	IGVFFI5503MOOM	/labs/ali-mortazavi/	unattempted			completed
IGVFDS1090FPRU	IGVFFI7264FWPI	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS8030BIVA	IGVFFI5807NCKA	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS4713NIPP	IGVFFI8948SZVA	/labs/ali-mortazavi/	unattempted			completed
IGVFDS9656GMYO	IGVFFI9686KLKQ	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS3707DIGY	IGVFFI6207FMVF	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS1295RDSY	IGVFFI2884FJCB	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS9319ECRY	IGVFFI2501RPUJ	/labs/ali-mortazavi/	unattempted			completed
IGVFDS1293XBOC	IGVFFI5340JKXX	/labs/ali-mortazavi/	unattempted			completed
IGVFDS9555ZWLC	IGVFFI5607QYCL	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS3572KAVM	IGVFFI3456EDEK	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS5304JEXQ	IGVFFI8691CBXZ	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS6220HCVN	IGVFFI0505OGYH	/labs/ali-mortazavi/	unattempted			completed
IGVFDS4224VGAO	IGVFFI1033POQH	/labs/ali-mortazavi/	unattempted			completed
IGVFDS4237KZUT	IGVFFI6939RRWL	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS2277WHXN	IGVFFI8541HDYF	/labs/ali-mortazavi/	unattempted			completed
IGVFDS6998AIYP	IGVFFI0796QSIC	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS7096ICDO	IGVFFI1014BVLX	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS2539NZYI	IGVFFI3788SMJT	/labs/ali-mortazavi/	unattempted			completed
IGVFDS5536VNGS	IGVFFI9670KKIK	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS7585LPQD	IGVFFI2776SWVD	/labs/ali-mortazavi/	unattempted			completed
IGVFDS3999ZMJH	IGVFFI1086WBNM	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS9351TYGC	IGVFFI0584HSMJ	/labs/ali-mortazavi/	unattempted			completed
IGVFDS3768BBIN	IGVFFI7707SAYE	/labs/ali-mortazavi/	unattempted			completed
IGVFDS4715TXBC	IGVFFI8078TRAJ	/labs/ali-mortazavi/	unattempted			completed
IGVFDS1081SGNL	IGVFFI2376RHPH	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS4678WOYX	IGVFFI4244VCWT	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS7147LJJQ	IGVFFI1370JONQ	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS3472XSRQ	IGVFFI8400GFSW	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS0871QDLC	IGVFFI8056FOTP	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS1518RYNR	IGVFFI8256ISZK	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS9883QFZP	IGVFFI6650BAIE	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS9307DWUK	IGVFFI7135CHEA	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS6013PIAJ	IGVFFI1995BOYX	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS5945SFSG	IGVFFI3971RJRC	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS7350IMKI	IGVFFI4582DCCE	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS5853ABAC	IGVFFI2806PCXO	/labs/ali-mortazavi/	unattempted			completed
IGVFDS1977LJKE	IGVFFI8702LAKR	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS2320OKYL	IGVFFI3854TWTM	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS0687NLHY	IGVFFI3967LLIN	/labs/ali-mortazavi/	unattempted			completed
IGVFDS3189BWIV	IGVFFI9977NGFG	/labs/ali-mortazavi/	unattempted			completed
IGVFDS6552IVYF	IGVFFI4123QROI	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS4760LVHU	IGVFFI0425PCVE	/labs/ali-mortazavi/	unattempted			completed
IGVFDS3730UCWL	IGVFFI5547LVLT	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS5251JPHG	IGVFFI9365FLHX	/labs/ali-mortazavi/	unattempted			completed
IGVFDS2321ADKF	IGVFFI5388WUXU	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS3756KSXW	IGVFFI9761AQLR	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS1433NWLO	IGVFFI7356OVPZ	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS2630PUSN	IGVFFI6934SDDE	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS8067AZTL	IGVFFI2510XSRD	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS2282ZQUX	IGVFFI9339NIWI	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS0869OLRR	IGVFFI5395GZBH	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS4119MMWR	IGVFFI3493SRRE	/labs/jason-buenrostro/	unattempted			completed
IGVFDS3250EOTF	IGVFFI3933WVUG	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS3005GKLB	IGVFFI7119NFZE	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS8510MJAF	IGVFFI1685CHMJ	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS2628XYNJ	IGVFFI6129JUOJ	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS0462PLZO	IGVFFI1036BIOV	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS8876TCJG	IGVFFI8269DVGS	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS6022MCAP	IGVFFI0108PWOM	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS2813LDJJ	IGVFFI5232UCFQ	/labs/ali-mortazavi/	unattempted			completed
IGVFDS4179LALN	IGVFFI3220PNMB	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS2586FRCH	IGVFFI7710SIZC	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS0048TKOA	IGVFFI7663DYYR	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS1650AWKY	IGVFFI7177QDXV	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS8962VDDM	IGVFFI3547TCKB	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS8428QVAO	IGVFFI9453KGSC	/labs/ali-mortazavi/	needs-fix	2026-08-03T20:37:02.040767+00:00		completed
IGVFDS4655XOHU	IGVFFI1455ZGUT	/labs/ali-mortazavi/	unattempted			completed
IGVFDS0596KZJL	IGVFFI2040POJN	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS4274LFOK	IGVFFI4972SQZL	/labs/ali-mortazavi/	unattempted			completed
IGVFDS5868AQSB	IGVFFI5563GEVI	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS1927TLAC	IGVFFI2000GYNU	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS5612XKPF	IGVFFI0101NYFS	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS8506QHTN	IGVFFI7654GVWL	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS2551AMDN	IGVFFI5868VKWR	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS2523LAVH	IGVFFI8483CHRK	/labs/ali-mortazavi/	unattempted			completed
IGVFDS0799EOAI	IGVFFI0946QRNG	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS5959GMBX	IGVFFI0832URED	/labs/ali-mortazavi/	unattempted			completed
IGVFDS7388ONZD	IGVFFI8795RASQ	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS4721SZWW	IGVFFI9854POOQ	/labs/ali-mortazavi/	unattempted			completed
IGVFDS0495JEAM	IGVFFI7187BQFO	/labs/ali-mortazavi/	unattempted			completed
IGVFDS2622PKNT	IGVFFI5012OLHR	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS2249OGMJ	IGVFFI6587IHVS	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS9626NYVE	IGVFFI3888BUSV	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS5580JDPW	IGVFFI2869NJZI	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS4319GJHF	IGVFFI0151JEIJ	/labs/ali-mortazavi/	unattempted			completed
IGVFDS3116AJMV	IGVFFI6565ONIA	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS5888FZLE	IGVFFI0825XOYV	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS7676MKUO	IGVFFI2998SFXG	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS8308OMNT	IGVFFI5500QQJW	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS3848ZKHQ	IGVFFI5411XWAT	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS6201VFWZ	IGVFFI4154IJJV	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS8703MQOA	IGVFFI5605IRNO	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS9023OAJT	IGVFFI1749IOIP	/labs/ali-mortazavi/	unattempted			completed
IGVFDS4362YWCJ	IGVFFI3962HTBH	/labs/ali-mortazavi/	unattempted			completed
IGVFDS7527KBXA	IGVFFI3384XWIU	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS3528UZBB	IGVFFI0939WJCT	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS5195GWHB	IGVFFI1688GVHV	/labs/ali-mortazavi/	unattempted			completed
IGVFDS2090HEVL	IGVFFI2631BPSG	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS8028PLSQ	IGVFFI9425FKIO	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS8985BRZO	IGVFFI4683VRHF	/labs/ali-mortazavi/	unattempted			completed
IGVFDS4460LMJI	IGVFFI3180VKDD	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS6690VHEB	IGVFFI4863DKJB	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS7741CMHL	IGVFFI9061TCON	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS4010EDYG	IGVFFI6715URAU	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS4958AVXP	IGVFFI8247AXWB	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS9489UTHF	IGVFFI9531YTQM	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS0890UXJD	IGVFFI9602KPHR	/labs/ali-mortazavi/	unattempted			completed
IGVFDS2196WMFA	IGVFFI7684UUNU	/labs/ryan-corces/	unattempted			UNKNOWN
